iter	Passed	Remaining
1180	8177	5671
1181	8185	5664
1182	8192	5657
1183	8199	5651
1184	8207	5644
1185	8214	5638
1186	8222	5631
1187	8229	5624
1188	8236	5618
1189	8244	5611
1190	8251	5604
1191	8258	5598
1192	8266	5591
1193	8274	5585
1194	8283	5580
1195	8291	5574
1196	8299	5567
1197	8307	5561
1198	8315	5555
1199	8324	5549
1200	8332	5543
1201	8341	5537
1202	8350	5532
1203	8358	5526
1204	8367	5520
1205	8375	5514
1206	8383	5508
1207	8392	5502
1208	8399	5495
1209	8408	5489
1210	8417	5484
1211	8425	5478
1212	8433	5472
1213	8441	5465
1214	8450	5459
1215	8458	5453
1216	8466	5447
1217	8474	5441
1218	8482	5434
1219	8490	5428
1220	8499	5422
1221	8507	5416
1222	8514	5409
1223	8522	5402
1224	8529	5396
1225	8537	5390
1226	8547	5384
1227	8554	5378
1228	8562	5371
1229	8569	5364
1230	8576	5357
1231	8584	5351
1232	8590	5343
1233	8597	5336
1234	8604	5330
1235	8612	5323
1236	8619	5316
1237	8626	5309
1238	8634	5303
1239	8640	5295
1240	8648	5289
1241	8656	5282
1242	8664	5276
1243	8672	5270
1244	8679	5263
1245	8687	5257
1246	8695	5250
1247	8702	5243
1248	8710	5237
1249	8718	5231
1250	8726	5224
1251	8734	5218
1252	8741	5211
1253	8749	5204
1254	8756	5197
1255	8763	5191
1256	8770	5184
1257	8777	5177
1258	8784	5170
1259	8792	5163
1260	8799	5156
1261	8806	5150
1262	8814	5143
1263	8820	5135
1264	8827	5129
1265	8834	5121
1266	8841	5115
1267	8848	5108
1268	8856	5101
1269	8863	5094
1270	8870	5087
1271	8877	5080
1272	8883	5073
1273	8890	5066
1274	8897	5059
1275	8904	5052
1276	8912	5045
1277	8920	5039
1278	8929	5033
1279	8937	5027
1280	8945	5021
1281	8955	5015
1282	8963	5009
1283	8972	5003
1284	8981	4997
1285	8989	4991
1286	8997	4984
1287	9010	4980
1288	9018	4974
1289	9026	4968
1290	9034	4961
1291	9042	4955
1292	9051	4949
1293	9059	4942
1294	9066	4935
1295	9074	4929
1296	9082	4923
1297	9090	4916
1298	9098	4909
1299	9106	4903
1300	9113	4896
1301	9121	4890
1302	9129	4883
1303	9137	4877
1304	9145	4870
1305	9153	4864
1306	9161	4857
1307	9169	4851
1308	9177	4844
1309	9185	4837
1310	9193	4831
1311	9200	4824
1312	9208	4818
1313	9216	4811
1314	9224	4805
1315	9232	4798
1316	9240	4792
1317	9250	4786
1318	9257	4779
1319	9265	4772
1320	9272	4766
1321	9280	4759
1322	9288	4752
1323	9295	4746
1324	9303	4739
1325	9310	4732
1326	9318	4726
1327	9326	4719
1328	9334	4712
1329	9342	4706
1330	9350	4699
1331	9357	4692
1332	9365	4686
1333	9373	4679
1334	9381	4673
1335	9389	4666
1336	9397	4660
1337	9406	4653
1338	9413	4647
1339	9421	4640
1340	9429	4633
1341	9437	4627
1342	9445	4620
1343	9453	4614
1344	9461	4607
1345	9469	4600
1346	9478	4594
1347	9486	4588
1348	9495	4582
1349	9504	4576
1350	9527	4576
1351	9539	4572
1352	9556	4569
1353	9570	4566
1354	9584	4562
1355	9596	4557
1356	9604	4550
1357	9612	4544
1358	9622	4538
1359	9637	4535
1360	9646	4529
1361	9654	4522
1362	9662	4515
1363	9671	4509
1364	9680	4503
1365	9688	4496
1366	9696	4490
1367	9704	4483
1368	9712	4476
1369	9719	4469
1370	9728	4463
1371	9736	4456
1372	9744	4449
1373	9752	4443
1374	9760	4436
1375	9768	4429
1376	9777	4423
1377	9785	4417
1378	9794	4410
1379	9802	4404
1380	9810	4397
1381	9819	4391
1382	9828	4384
1383	9837	4378
1384	9845	4371
1385	9855	4366
1386	9864	4359
1387	9874	4353
1388	9882	4347
1389	9891	4341
1390	9900	4334
1391	9914	4330
1392	9922	4323
1393	9930	4317
1394	9938	4310
1395	9946	4303
1396	9952	4296
1397	9960	4289
1398	9967	4282
1399	9975	4275
1400	9981	4267
1401	9989	4260
1402	9996	4253
1403	10004	4246
1404	10011	4239
1405	10018	4232
1406	10025	4225
1407	10032	4218
1408	10039	4211
1409	10046	4204
1410	10054	4197
1411	10062	4190
1412	10069	4183
1413	10078	4176
1414	10085	4169
1415	10092	4162
1416	10100	4155
1417	10107	4148
1418	10114	4141
1419	10121	4134
1420	10128	4127
1421	10135	4119
1422	10142	4112
1423	10150	4105
1424	10158	4098
1425	10165	4091
1426	10172	4084
1427	10179	4077
1428	10186	4070
1429	10195	4063
1430	10203	4057
1431	10210	4050
1432	10218	4043
1433	10225	4036
1434	10232	4028
1435	10240	4022
1436	10247	4014
1437	10255	4007
1438	10262	4001
1439	10270	3994
1440	10278	3987
1441	10285	3979
1442	10292	3972
1443	10299	3965
1444	10307	3958
1445	10314	3951
1446	10322	3944
1447	10329	3937
1448	10336	3930
1449	10343	3923
1450	10351	3916
1451	10358	3909
1452	10365	3902
1453	10373	3895
1454	10380	3888
1455	10387	3881
1456	10394	3873
1457	10401	3866
1458	10408	3859
1459	10415	3852
1460	10423	3845
1461	10431	3838
1462	10439	3831
1463	10445	3824
1464	10453	3817
1465	10460	3810
1466	10468	3803
1467	10475	3796
1468	10482	3789
1469	10490	3782
1470	10497	3775
1471	10505	3768
1472	10512	3761
1473	10519	3754
1474	10527	3746
1475	10534	3739
1476	10542	3733
1477	10550	3726
1478	10557	3719
1479	10565	3712
1480	10573	3705
1481	10581	3698
1482	10589	3691
1483	10596	3684
1484	10604	3677
1485	10612	3670
1486	10619	3663
1487	10627	3656
1488	10634	3649
1489	10642	3642
1490	10650	3635
1491	10658	3628
1492	10665	3621
1493	10673	3615
1494	10681	3608
1495	10689	3601
1496	10697	3594
1497	10704	3587
1498	10711	3580
1499	10720	3573
1500	10728	3566
1501	10737	3559
1502	10745	3553
1503	10753	3546
1504	10761	3539
1505	10768	3532
1506	10775	3525
1507	10782	3518
1508	10790	3511
1509	10798	3504
1510	10806	3497
1511	10813	3490
1512	10821	3483
1513	10829	3476
1514	10837	3469
1515	10844	3462
1516	10851	3455
1517	10859	3448
1518	10866	3441
1519	10874	3433
1520	10881	3426
1521	10888	3419
1522	10894	3412
1523	10902	3405
1524	10910	3398
1525	10917	3391
1526	10926	3384
1527	10935	3377
1528	10943	3370
1529	10951	3364
1530	10960	3357
1531	10969	3350
1532	10978	3344
1533	10986	3337
1534	10995	3330
1535	11005	3324
1536	11013	3317
1537	11022	3311
1538	11031	3304
1539	11039	3297
1540	11048	3290
1541	11056	3284
1542	11065	3277
1543	11074	3270
1544	11082	3263
1545	11090	3256
1546	11098	3250
1547	11106	3243
1548	11114	3236
1549	11122	3229
1550	11129	3222
1551	11137	3215
1552	11145	3208
1553	11153	3200
1554	11160	3193
1555	11167	3186
1556	11176	3179
1557	11183	3172
1558	11191	3165
1559	11200	3159
1560	11208	3152
1561	11217	3145
1562	11225	3138
1563	11234	3131
1564	11242	3124
1565	11251	3118
1566	11259	3111
1567	11267	3104
1568	11275	3097
1569	11283	3090
1570	11291	3083
1571	11299	3076
1572	11307	3069
1573	11315	3062
1574	11323	3055
1575	11331	3048
1576	11339	3041
1577	11346	3034
1578	11354	3027
1579	11362	3020
1580	11370	3013
1581	11378	3006
1582	11385	2999
1583	11393	2992
1584	11401	2985
1585	11409	2978
1586	11417	2971
1587	11424	2964
1588	11433	2957
1589	11440	2950
1590	11448	2943
1591	11456	2936
1592	11464	2929
1593	11472	2922
1594	11480	2915
1595	11489	2908
1596	11496	2901
1597	11504	2894
1598	11512	2887
1599	11520	2880
1600	11528	2873
1601	11536	2866
1602	11544	2859
1603	11552	2852
1604	11559	2844
1605	11567	2837
1606	11574	2830
1607	11582	2823
1608	11590	2816
1609	11597	2809
1610	11605	2802
1611	11612	2795
1612	11621	2788
1613	11629	2781
1614	11637	2774
1615	11646	2767
1616	11654	2760
1617	11663	2753
1618	11671	2746
1619	11679	2739
1620	11686	2732
1621	11694	2725
1622	11705	2718
1623	11716	2712
1624	11732	2707
1625	11742	2700
1626	11753	2694
1627	11762	2687
1628	11773	2681
1629	11782	2674
1630	11789	2667
1631	11797	2660
1632	11804	2652
1633	11811	2645
1634	11817	2638
1635	11825	2631
1636	11832	2623
1637	11838	2616
1638	11845	2609
1639	11852	2601
1640	11858	2594
1641	11865	2587
1642	11871	2579
1643	11878	2572
1644	11886	2565
1645	11894	2558
1646	11901	2550
1647	11909	2543
1648	11917	2536
1649	11925	2529
1650	11932	2522
1651	11941	2515
1652	11950	2508
1653	11957	2501
1654	11965	2494
1655	11973	2487
1656	11982	2480
1657	11989	2473
1658	11998	2466
1659	12006	2459
1660	12014	2452
1661	12022	2444
1662	12030	2437
1663	12037	2430
1664	12045	2423
1665	12052	2416
1666	12060	2409
1667	12067	2401
1668	12074	2394
1669	12081	2387
1670	12087	2379
1671	12094	2372
1672	12100	2365
1673	12107	2357
